Armonica,Skyprythem -スカイプリズム-
Carol Works,えむリア！ 俺がドMになったのはどう考えてもお前らが悪い
Carol Works,ボクの××は寮生たちの特権です！
Carol Works,お嬢様と憐れな（こ）執事
Carol Works,夏色ラムネ
Concerto,子作りしようよ ソーマくん ～えっちな娘でもいいですか？～
F&C,水月 弐～追憶～
F&C,ぴあきゃろ PetitBox
FOUNDATION,すたーらいと★アイドル -COLORFUL TOP STAGE！-
Gargoyle（ガーゴイル）,必殺シコキ屋稼業
Parasol,QUINTUPLE☆SPLASH
Parasol,でりばらっ！ -deliverance of strays-
Parasol,ゆめこい ～夢見る魔法少女と恋の呪文～
Parasol,彼女と俺の恋愛日常（ラブリーデイ）
Parasol,恋妹SWEET☆DAYS
Parasol,晴のちきっと菜の花びより
Parasol,桜ひとひら恋もよう
PINK CHUCHU,百五十年目の魔法使い
RED-ZONE,おさわり痴漢電車
RED-ZONE,ボクの貞操を奪わないでっ！！
RED-ZONE,ヤリチンの俺が女になったらヤリマンだった件
RED-ZONE,村祀り桃色紀行 さかざ村の淫祀り、汚された巫女姉妹
RED-ZONE,村祀り桃色紀行 おのごろ村の淫祀り2
RED-ZONE,村祀り桃色紀行 おのごろ村の淫祀り、生贄になった少女
rootnuko＋H,てにおはっ！2 ～ねぇ、もっとえっちなコトいっぱいしよ？～
あかねそふと,へんこい 変恋≒黒歴史
シャルラクプラス,万引娘桃色性裁 万引きした妹に鬼畜お仕置き！！
シャルラクプラス,万引きした幼な妻に生ハメ中出し！！
スペルメーション,パラメータ・リモコン
スペルメーション,弥奈 (みな)はお兄ちゃんに処女を奪われ家から出られない。
スペルメーション,淫魔の波動
